,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
568,CH,CE 523,16,680507.418369,7642314.424760001,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
569,CH,FIN 441,27,680507.418369,7642314.424760001,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
570,CH,ACTG 553,42,680507.418369,7642314.424760001,T,na,na,2016-09-27 17:30:00,2016-09-27 21:10:00,na,na,na,na,na,na,na,na,na,na
571,CH,MGMT 514,37,680507.418369,7642314.424760001,R,na,na,na,na,na,na,2016-09-29 17:30:00,2016-09-29 21:10:00,na,na,na,na,na,na
572,CH,UNST 236C,10,680507.418369,7642314.424760001,M,2016-09-26 08:00:00,2016-09-26 08:50:00,na,na,na,na,na,na,na,na,na,na,na,na
573,CH,UNST 144G,12,680507.418369,7642314.424760001,MW,2016-09-26 09:30:00,2016-09-26 10:20:00,na,na,2016-09-28 09:30:00,2016-09-28 10:20:00,na,na,na,na,na,na,na,na
574,CH,UNST 144G,12,680507.418369,7642314.424760001,MW,2016-09-26 10:30:00,2016-09-26 11:20:00,na,na,2016-09-28 10:30:00,2016-09-28 11:20:00,na,na,na,na,na,na,na,na
575,CH,UNST 144G,12,680507.418369,7642314.424760001,MW,2016-09-26 11:30:00,2016-09-26 12:20:00,na,na,2016-09-28 11:30:00,2016-09-28 12:20:00,na,na,na,na,na,na,na,na
576,CH,UNST 141A,11,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 14:50:00,na,na,2016-09-28 14:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
577,CH,UNST 141A,12,680507.418369,7642314.424760001,MW,2016-09-26 15:00:00,2016-09-26 15:50:00,na,na,2016-09-28 15:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
578,CH,UNST 141A,12,680507.418369,7642314.424760001,MW,2016-09-26 16:00:00,2016-09-26 16:50:00,na,na,2016-09-28 16:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
579,CH,UNST 254G,12,680507.418369,7642314.424760001,M,2016-09-26 17:00:00,2016-09-26 17:50:00,na,na,na,na,na,na,na,na,na,na,na,na
